Title,Company,Address,Time,Requirements 
Receptionist,DUC ,"Dokki, Giza, Egypt ",Full Time,Full TimeEntry Level · 0 - 1 Yrs of Exp · females_only · Administration · Customer Service/Support · Administration · Receptionist · Microsoft Office · Office Management
Marketing Specialist,Electa Studios ,"Alexandria, Egypt ",Full Time,Full TimeExperienced · 4 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · Social Media · E-marketing · Media · Advertising · Events · Brand · Market
Software Senior Tester (QA),e Aswaaq Misr ,"Smart Village, Giza, Egypt ",Full Time,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Quality Assurance · Software Development · Information Technology (IT) · Computer Science · JIRA · Management · Software · Software Engineering
Sales Consultant- Real Estate,Confidential ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Sales/Retail · Target · Real Estate · Sales · sales skills · Presentation Skills · Presentation · Communication · Sales Target
Accountant - Port Said,Ibramar shipping Co ,"Sharq, Port Said, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · males_only · Accounting/Finance · Commerce · Accounting · Finance · Shipping · Oracle Financial E-Business · Auditing · Communication skills · English · ERP
Social Media Specialist,Electa Studios ,"Alexandria, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Social Media · Marketing · E-marketing · Media · Digital Marketing · SEO · Online Marketing
Senior Android Engineer,Yomicepa LLC ,"Smouha, Alexandria, Egypt ",Full Time,Full TimeExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Android · Computer Engineering · Information Technology (IT) · Git · Java · Kotlin · SDK · RESTful · Software Development
Foreign English Teacher - Dokki branch,Esparanza ,"Dokki, Giza, Egypt ",Full Time,Full TimeExperienced · 2+ Yrs of Exp · females_only · Education/Teaching · Teaching · Education · Nurseries · English · Communication Skills · Foreign · teacher
Procurement Engineer,Grid Fine Finishes ,"Zamalek, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1+ Yrs of Exp · Engineering - Construction/Civil/Architecture · Purchasing/Procurement · Architecture · Civil · Procurement · Construction · Engineering · Architecture Engineering · Communication · Communication skills
Customer Support Representative,Venecia Blinds ,"Giza, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Customer Service/Support · Communication · Customer · Customer Care · Customer Service · Customer Support · Handling · Orientation · Presentation · Presentation Skills
Senior Business Development Engineer ( Construction Projects ),GTCI Constructors  ,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeExperienced · 6 - 10 Yrs of Exp · Business Development · Sales/Retail · Business Development · Business · Development · Marketing · Sales · Infrastructure Engineering · Communication skills · Engineering
Treasury Accountant,Ghalioungui  ,"Mokattam, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Accounting · Treasury · Treasury Accounting · Cash Management · excel · Finance · Financial Analysis · MS Office · Trade Finance
Digital Marketing Executive,Studygram Worldwide ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Ads · Analytics · Digital Marketing · Google Ads · Marketing · Google Analytics · English · Communication
Architecture Assistant,STEPS ACADEMY ,"6th of October, Giza, Egypt ",Internship,InternshipStudent · females_only · Engineering - Construction/Civil/Architecture · Architecture · Engineering · Education
Supply Chain Officer,Medecins Sans Frontieres ,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 2 - 5 Yrs of Exp · Logistics/Supply Chain · Operations/Management · Purchasing/Procurement · Procurement · Purchasing · supply chain management · Warehouse · Chain Management · Logistics · Supply
AR - Accountant,Ghalioungui  ,"Mokattam, Cairo, Egypt ",Full Time,Full TimeEntry Level · 0 - 3 Yrs of Exp · Accounting/Finance · AR · Accounting · Microsoft Office · Commerce · Finance · Financial Analysis
Talent Acquisition Lead,e Aswaaq Misr ,"Smart Village, Giza, Egypt ",Full Time,Full TimeExperienced · 7 - 10 Yrs of Exp · Human Resources · Recruitment · Talent · Acquisition · Interviewing · Recruiting · Human Resources (HR) · Social Media · Human Resources · Communication
Work From Home Fluent English Speaker,RISEUP (Endemag for Administrative Skills Development) ,"Abu Rawash, Giza, Egypt ",Full Time,Full TimeWork From HomeEntry Level · 0 - 10 Yrs of Exp · Customer Service/Support · computer · Computer Skills · Customer · Communication · Customer Care · Customer Service · Customer Support · Interpersonal skills · Sales
Maintenance Manager,Confidential ,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeManager · 13 - 20 Yrs of Exp · Installation/Maintenance/Repair · Operations/Management · Engineering - Mechanical/Electrical · Mechanical Engineering · Maintenance Management · Maintenance · Communication · Electrical · Hydraulic · Management
Fleet Supervisor,Confidential ,"Zamalek, Cairo, Egypt ",Full Time,Full TimeManager · 3 - 6 Yrs of Exp · males_only · Logistics/Supply Chain · Operations/Management · Fleet Management · Vehicle Maintenance · Logistics · Fleet · Operations · Supply Chain
General Manager,Confidential ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeSenior Management · 7 - 20 Yrs of Exp · Business Development · Operations/Management · general manager · General · Communication · Financial Analysis · Financial Management
Customer Relation Specialist,Hala Consulting  ,"Mohandessin, Giza, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · females_only · Customer Service/Support · Customer Service · Customer Care · Call Center · Tele sales · English · Customer Support · Telesales
Stock Controller,Andalusia Group ,"Smouha, Alexandria, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Purchasing/Procurement · Stock · Stock Control · Stock controller · Accounting · Logistics · Finance · Inventory Control · Supply Chain
Sales - Networking,mh,"Cairo, Egypt ",Full Time,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Other · Networking · Cisco · Cisco Routing · Cisco Firewall · Sonicwall · Hardware Sales · Network Hardware
Network Administrator Engineer,Fawry Plus ,"6th of October, Giza, Egypt ",Full Time,Full TimeExperienced · 2 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · CCNA · Information Technology (IT) · engineer · Networking · Routing · Science · Security
Customer Service Specialist (Instructors),Tyro ,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 2+ Yrs of Exp · Customer Service/Support · Customer Care · Customer Service · Communication · Customer Support · Communication skills · computer
General Accountant,National Paints ,"Obour City, Cairo, Egypt ",Full Time,Full TimeExperienced · 4 - 6 Yrs of Exp · males_preferred · Accounting/Finance · Accounting · ERP System · Finance · Analysis · English · ERP · Financial Analysis · Financial Management · Reporting
Sales Representative,Bevatel ,"Dokki, Giza, Egypt ",Full Time,Full TimeEntry Level · 1+ Yrs of Exp · Customer Service/Support · Sales/Retail · Sales Target · Negotiation · Retail · Customer Service · Communication skills · Sales · Real Estate · Communication
Planning Engineer,Forward Contractors,"Alamein, Matruh, Egypt ",Full Time,Full TimeExperienced · 2 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Project/Program Management · Planning Engineer · Primavera · Civil Engineering · analytical · Construction · Engineering · Microsoft · Planning
Accountant,Venecia Blinds ,"Giza, Egypt ",Full Time,Full TimeExperienced · 4 - 5 Yrs of Exp · males_only · Accounting/Finance · Accounting · analytical · Commerce · Finance · excel · Financial Analysis · Financial Management · Payments · Sales
Senior A/R Accountant,ATRIC Developments ,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · AR · Finance · Real Estate · Communication skills · Financial · Financial Analysis · Commerce
Quality Specialist (Call Center),RUSH BRUSH INC ,"Alexandria, Egypt ",Full Time,Full TimeExperienced · 2 - 4 Yrs of Exp · Customer Service/Support · Quality · Customer Service · Communication skills · quality · QA · English
Ocean Freight CSR (Import/Export),Unitrans Global Logistics  ,"Sheraton, Cairo, Egypt ",Full Time,Full TimeExperienced · 5 - 7 Yrs of Exp · Customer Service/Support · Logistics/Supply Chain · Operations/Management · Logistics · Supply Chain · Import · Export · Analysis · Shipping · FIATA
Export Logistics Manager,Kandil Industries ,"10th of Ramadan City, Cairo, Egypt ",Full Time,Full TimeManager · 8 - 11 Yrs of Exp · Logistics/Supply Chain · Operations/Management · Purchasing/Procurement · Logistics Management · Supply · Supply Chain · Logistics · Export
Sales Lead,CI Capital ,"Cairo, Egypt ",Full Time,Full TimeManager · 3 - 5 Yrs of Exp · Operations/Management · Sales/Retail · Mortgage Planning · Real Estate Sales · Real Estate · sales skills · Sales Target · Sales · Banking
Electrical Technical Office Engineer,SEG ,"New Capital, Cairo, Egypt ",Full Time,Full TimeExperienced · 7 - 10 Yrs of Exp · Engineering - Mechanical/Electrical · AutoCAD · Electrical · Electrical Engineering · Revit · Technical Office · Shop Drawings · Microsoft Office · Computer Skills · Engineering
English Academic Supervisor,Hi,"Nasr City, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 4 Yrs of Exp · Education/Teaching · Communication · CELTA · Communication skills · English · Leadership · Management · Sales · sales skills · Sales Target
Receptionist (Office Manager),ATRIC Developments ,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · females_only · Administration · Admin · Administration · Front Office · Office management · Communication skills · Customer Service · Microsoft Office
Biomedical Sales Engineer,International Business Systems I.B.S. ,"Mokattam, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Medical/Healthcare · Sales/Retail · Engineering - Other · Biomedical · Biomedical engineer · Biomedical Engineering · Communication skills · English · Engineering · sales skills
Visa Consultant,TravelYalla  ,"Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 4 Yrs of Exp · Administration · Tourism/Travel · Amadeus · Customer Care · Tourism · Travel · Visa · Administration · Admin · application
Senior Application Support Engineer,e Aswaaq Misr ,"Smart Village, Giza, Egypt ",Full Time,Full TimeExperienced · 3+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Engineering · Information Technology (IT) · JavaScript · JSON · Linux · MySQL
Project Manager MEP,EGICAT ,"Cairo, Egypt ",Full Time,Full TimeManager · 8 - 10 Yrs of Exp · Project/Program Management · Engineering - Mechanical/Electrical · Project Management · Engineering · Management · Microsoft Office · Communication Skills · English · Software · Communication
Recruitment Assistant,Confidential ,"Cairo, Egypt ",Full Time,Full TimeExperienced · 2 - 3 Yrs of Exp · Administration · Human Resources · Human Resources (HR) · English · Administration · Recruitment · Microsoft Office · Communication
Mechanical Engineer Technical Office,SEG ,"New Capital, Cairo, Egypt ",Full Time,Full TimeExperienced · 6 - 8 Yrs of Exp · Engineering - Mechanical/Electrical · AutoCAD · Engineering · Drawing · Fire Fighting · HVAC · shop drawing · Mechanical Engineering · Power · Technical Office Engineering
Projects Department Coordinator,Venecia Blinds ,"Giza, Egypt ",Full Time,Full TimeExperienced · 3+ Yrs of Exp · females_only · Administration · Project/Program Management · Office management · Project Management · Projects Coordination · Sales Coordination · Sales Planning · Planning · English · Microsoft Office
Senior Software Quality Engineer,BlueCloud ,"Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · Computer Engineering · Computer Science · Information Technology (IT) · Management · Engineering · Software Development
Project Engineer,Zewail City ,"6th of October, Giza, Egypt ",Full Time,Full TimeExperienced · 5 - 8 Yrs of Exp · Engineering - Construction/Civil/Architecture · Project/Program Management · AutoCAD · Civil · Computer Science · Engineering · English · Planning · Project · Project Management
ERP Analyst,Xceed ,"Maadi, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · PHP · Analysis · . Net · MS SQL · ERP · Microsoft SQL Server · .NET
Logistics Specialist,Kandil Industries ,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Logistics/Supply Chain · Logistics · Import · Export · Commerce · Shipping · Supply Chain
C++ Developer,BlueCloud ,"Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 2 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · C++ · APIs · Algorithms · Computer Engineering · Engineering · Information Technology (IT) · Software Development
Sales Manager,MB for Engineering ,"Abu Rawash, Giza, Egypt ",Full Time,Full TimeManager · 10+ Yrs of Exp · Sales/Retail · Sales · Retail · sales skills · Sales Target · Wholesales · Customer Service · Microsoft · team leader
Account Manager,CR8Hub ,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeExperienced · 2 - 4 Yrs of Exp · Business Development · Sales/Retail · Account Management · Communication · Business Administration · Sales · Management · English · Negotiation · Contract Management
Sales Executive (Construction Chemicals & Paintings),Intrade ,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeExperienced · 3+ Yrs of Exp · R&D/Science · Sales/Retail · Engineering - Other · Sales · Sales Skills · Chemicals · Paints · Paintings · Outdoor Sales · Indoor Sales
International Business Development Executive,Arabic Localizer ,"Mohandessin, Giza, Egypt ",Full Time,Full TimeEntry Level · 1+ Yrs of Exp · Business Development · Sales/Retail · Business Development · Sales · Market Research · Sales Skills · Marketing · OffShore · International Sales · English
Laboratory Assistant (French Speaker),Groupe Oasis Scolaire ,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 2 - 3 Yrs of Exp · R&D/Science · Education/Teaching · Lab Assistant · Science · Lab Technology · French · Laboratory
2 D Designer,CUBES Advertising ,"Cairo, Egypt ",Part Time,Part TimeEntry Level · 1 - 3 Yrs of Exp · Creative/Design/Art · Adobe Photoshop · Designer · Design · AutoCAD · Creative
Civil Engineer,Tahiti Real estate ,"North Coast, Matruh, Egypt ",Work From Home,Work From HomeExperienced · 5 - 7 Yrs of Exp · Engineering - Construction/Civil/Architecture · Civil Engineering · Architecture · Site · Civil · civil 3d · Construction · Design · Engineering · Site layout
Senior Electrical Procurement Engineer,GMC ,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 7 - 10 Yrs of Exp · Purchasing/Procurement · Engineering - Mechanical/Electrical · Electrical Engineering · Electrical · Procurement · Engineering · Mechanical Engineering
Call Center Agent,Elite Recruitment ,"Cairo, Egypt ",Full Time,Full TimeEntry Level · Customer Service/Support · Customer Service · Customer Support · Call Center · Customer Care · French · English
Sales Manager Real State (Broker),The Edge for Real Estate ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeManager · 2+ Yrs of Exp · Operations/Management · Sales/Retail · Communication · Real Estate · Sales · Experience · Sales Target · Sales Skills
Office Manager - Tourism Company,Confidential ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · females_only · Administration · Admin · Sales · Administration · Sales Skills · Communication Skills · Sales Target · Microsoft Office · English · Office Management
Personal Assistant - (New Cairo) / Tourism Company,Confidential ,"Cairo, Egypt ",Part Time,Part TimeExperienced · 5+ Yrs of Exp · females_only · Administration · Administration · Microsoft Office · Office management · Secretary · Front Office · Travel Assistance
Senior Accounts Payable /Tax,Tania ,"Riyadh, Saudi Arabia ",Full Time,Full TimeExperienced · 6 - 10 Yrs of Exp · males_only · Accounting/Finance · Accounts Payable · SAP · VAT · Finance · Accounting · English · Financial Analysis · Financial Management · Tax
Sales Specialist - Tourism Company,Confidential ,"Cairo, Egypt ",Full Time,Full TimeExperienced · 3+ Yrs of Exp · Sales/Retail · Sales · Sales Skills · Sales Target · Communication Skills
SEO Executive,e Aswaaq Misr ,"Smart Village, Giza, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Digital · Digital Marketing · Google Analytics · Online Marketing · SEO · SEM · Social Media · Marketing
Senior Frontend Developer (Angular),FlairsTech ,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · APIs · Computer Science · HTML5 · JavaScript · Software Engineering · Software Development · Web Development · Angular
PHP Web Developer (Codeigniter Framework),Confidential ,"Nasr City, Cairo, Egypt ",Full Time,Full TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Web Development · PHP · Software Development · Computer Science · HTML · CSS · javaScript
Social Media Specialist,e Aswaaq Misr ,"Smart Village, Giza, Egypt ",Full Time,Full TimeExperienced · 2+ Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · E-Marketing · Online Marketing · Social Media · Marketing · Design · Communication · Digital
Software Product Owner,3S Software ,"Nasr City, Cairo, Egypt ",Full Time,Full TimeWork From HomeExperienced · 3 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · MS Office · Agile · Analysis · business · Business Analysis · Communication skills · Computer Science
Commercial Director,Confidential ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeSenior Management · 8 - 12 Yrs of Exp · Business Development · Operations/Management · Sales/Retail · Commercial · Sales · sales skills · Communication · business · Marketing
Senior Software Tester - Alexandria,ISFP ,"Smouha, Alexandria, Egypt ",Full Time,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Software · Quality · Software Testing · Software Development · Software Engineering · Testing
Medical Representative in Upper Egypt,UG Medical ,"Aswan, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · Medical/Healthcare · Sales/Retail · Pharmaceutical · Medical · Pharmacy · Sales Target · Science · sales skills · Veterinary · Sales
Software Implementation Specialist,UnitLabs ,"Giza, Egypt ",Full Time,Full TimeWork From HomeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Communication · Computer Science · Customer Service · Database · Engineering · Microsoft Office · Software · SQL
Merchandiser,World Trading Co. ,"Mohandessin, Giza, Egypt ",Full Time,Full TimeEntry Level · 0 - 1 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Fashion · Merchandising · Fashion · Microsoft Excel · Communication · English · Retail · Sales
Maintenance Manager,Dakahlia Group ,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Full TimeManager · 10+ Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Engineering · Mechanical · FMCG · Mechanical Engineering · Project Management · Maintenance · Leadership · Six Sigma
Telesales Executive,Egyptian Knight ,"Haram, Giza, Egypt ",Full Time,Full TimeEntry Level · 0 - 2 Yrs of Exp · Customer Service/Support · Sales/Retail · Sales · sales skills · Telesales · Customer Service · Customer Support · Customer Care
Senior Document Control,Gates Development  ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · Administration · IT/Software Development · Document · organization · Document Control · Software Development
Pharmacist,Sehha Pharmacy ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 10 Yrs of Exp · Medical/Healthcare · Sales/Retail · Pharmaceutical · Pharmacy · Pharmaceutical · Pharmacist · Medical · Sales · Pharmaceutical Industries · Pharmaceutical Industry
Architecture Technical Office Engineer,Confidential ,"Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Engineering - Construction/Civil/Architecture · Quantity Surveying · Architecture · Revit · Technical Office Engineering · Technical Office · Construction · Construction Engineering · Microsoft Office · Quantity
Production Manager,Marbella For Food Industry  ,"6th of October, Giza, Egypt ",Full Time,Full TimeManager · 10+ Yrs of Exp · Operations/Management · Manufacturing/Production · Engineering - Mechanical/Electrical · FMCG · Food Production · LEAN · Maintenance · Management · Manufacturing · Planning
Training Specialist,Confidential ,"Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · Training/Instructor · Training · Human Resources (HR) · Communication · Communication skills · interpersonal · Microsoft Office · Skills
Aluminum Technical Office Engineer,Mass ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Aluminum · AutoCAD · Facade · Technical Office · Drawing · Architecture · Drawing Tools · Engineering · Microsoft Office
Digital Marketing Specialist,NOVA CLINICS ,"Fleming, Alexandria, Egypt ",Full Time,Full TimeExperienced · 2 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · Social Media · Marketing · E-Marketing · Creative · Design
Housekeeping Area Site Manager,Egypro FME ,"Maadi, Cairo, Egypt ",Full Time,Full TimeManager · 10 - 15 Yrs of Exp · Administration · Operations/Management · Housekeeping · management · Administration
Chief Accountant,Jozoor Landscapes ,"Maadi, Cairo, Egypt ",Full Time,Full TimeManager · 7+ Yrs of Exp · Accounting/Finance · Operations/Management · Accounting · business · Corporate · Finance · Financial · Financial Analysis · Financial Management · Financial Software
ERP Functional Consultant (Implementation) - Cairo,OdooTec ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Strategy/Consulting · Engineering - Telecom/Technology · ERP · Functional Consultant · Implementation · IT · Software · SAP · Odoo
Specifications Section Head,Delta Building Systems ,"Cairo, Egypt ",Full Time,Full TimeManager · 7 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · Operations/Management · section head · Management · Engineering · ERP · Architecture · AutoCAD · Communication skills · English
Mobile Development Team Leader ( iOS / Android ),Expert Apps ,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 6+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · Engineering · English · Information Technology (IT) · Management · iOS
Senior iOS Developer,Expert Apps ,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Apple · APIs · Software Development · Cloud · Software Engineering · computer
HR Specialist,Confidential ,"khanka, Qalubia, Egypt ",Full Time,Full TimeExperienced · 2 - 4 Yrs of Exp · Human Resources · HR · Human Resources (HR) · Recruiting · Recruitment · Hiring · Software · White Collars · Microsoft Office
Telemarketing Executive,SoftTrend ,"Maadi, Cairo, Egypt ",Full Time,Full TimeEntry Level · 0 - 3 Yrs of Exp · Customer Service/Support · Customer Service · Sales · Telemarketing · Customer Support · Sales Field · Sales Target · English · Communication
Human Resources Generalist, Siraj Lighting ,"Sheraton, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 3 Yrs of Exp · Administration · Human Resources · Human Resources (HR) · Microsoft Office · Recruitment · Personnel · Employee Relations · Compensation · Benefits Management · Training and Management
Senior Android Developer,Expert Apps ,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Android · back-end · APIs · computer · Computer Science · Information Technology (IT) · Offline storage
Governmental Relations Officer,Confidential ,"Giza, Egypt ",Full Time,Full TimeExperienced · 2 - 3 Yrs of Exp · Administration · Legal · Administration · Public Relations (PR) · Microsoft Office · Law · Communication skills · Communication · English
Senior Software Developer - Backend,Optasia ,"Cairo, Egypt ",Full Time,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Development · Java · Back End · NoSQL · spring Framework · Information Technology (IT) · MongoDB · Computer Science
Software Technical Lead,Optasia ,"Cairo, Egypt ",Full Time,Full TimeManager · 7 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Software Development · coding · Spring · NoSQL · PostgreSQL · Information Technology (IT) · JavaScript
Logistics Senior Specialist,Kandil Industries ,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Full TimeExperienced · 4 - 8 Yrs of Exp · Logistics/Supply Chain · Logistics · Import · Export · Commerce · Shipping · Supply Chain
[Paid] HR Internship,Testing Geeks ,"Dokki, Giza, Egypt ",Internship,InternshipEntry Level · 0 - 1 Yrs of Exp · females_only · Human Resources · Human Resources · Human Resources (HR) · MS Office · Recruitment · Microsoft Office · Communication skills · English · HR · Communication
Cash Flow Accountant - Port Said,Ibramar shipping Co ,"Sharq, Port Said, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · males_only · Accounting/Finance · Commerce · Accounting · Finance · Shipping · Oracle Financial E-Business · Auditing · Cash Flow · Communication skills · English
Senior Site Landscape Architect,Confidential ,"Alexandria, Egypt ",Full Time,Full TimeExperienced · 12 - 17 Yrs of Exp · Engineering - Construction/Civil/Architecture · landscape works · Site · Engineering · landscape design drawings · Shop drawings & Material Submittals · supervising & execution of the landscape works · Architecture · AutoCAD
Junior HPM Consultant (Mechatronics Engineers),Amiral Holdings Limited ,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · SAP · Engineering · Mechatronics Engineering · HPM · Communication · Experience
الادارة التنفيذية,OBBA ,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 1 - 7 Yrs of Exp · Engineering - Oil & Gas/Energy · bachelor degree · english language
Executive Secretary - (Knowledge Of Spanish Language),Dallant Middle East ,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeEntry Level · 0 - 5 Yrs of Exp · females_only · Administration · Spanish · Administration · Secretary · English · Microsoft Office · Office management · Communication · computer · MS Office
Administration Manager,Confidential ,"Damietta, Damietta, Egypt ",Full Time,Full TimeManager · 10 - 20 Yrs of Exp · Administration · Operations/Management · Administration Manager · Microsoft Office · Administration · Manufacturing · Office management · Secretary · Operations Management
Site Engineer,Jovi Build ,"Sheikh Zayed, Giza, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Civil · Civil Engineering · Construction · Engineering · AutoCAD · Leadership · Management · Site · Engineering Field
Technical Project Management Specialist,Centro CDX ,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Agile · Computer Science · Information Technology (IT) · Information technology · Project Management · Project · Scrum
Expert Activation Associate,Confidential ,"New Cairo, Cairo, Egypt ",Full Time,Full TimeEntry Level · 1 - 2 Yrs of Exp · Analyst/Research · Data Analysis · English · Research Analysis · Research · Power BI
Sourcing Senior Specialist - Procurement,Royal Herbs  ,"Haram, Giza, Egypt ",Full Time,Full TimeExperienced · 6 - 9 Yrs of Exp · Purchasing/Procurement · Sourcing · Sourcing suppliers · Buyer · Communication · English · Travel · Negotiation · Contract Negotiation · Procurements
Senior Internal Audit Officer,Arope Insurance  ,"Dokki, Giza, Egypt ",Full Time,Full TimeExperienced · 3 - 7 Yrs of Exp · males_preferred · Accounting/Finance · Auditing · Accounting · Communication skills · Financial Analysis · Finance · Planning · quality
SAP HCM Consultant,Amiral Holdings Limited ,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Strategy/Consulting · Engineering - Telecom/Technology · Consultant · HCM · Information Technology (IT) · SAP · SAP HCM · ABAP · Computer Engineering
Senior Android Developer,LINK Development ,"Maadi, Cairo, Egypt ",Full Time,Full TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android SDK · Software Development · SOAP · REST · JSON · Information Technology (IT) · Kotlin · XML
Human Resource Recruiter -Blue Collars,Derhali ,"Downtown, Cairo, Egypt ",Full Time,Full TimeExperienced · 3 - 10 Yrs of Exp · males_only · Human Resources · Blue Collars · Communication · Interviews · MS Office · Recruitment · Screening · Security · Microsoft Office · Communication skills
